title,date,link,tag
The Dangerous Truth About India’s Cryptocurrency Verdict,"Mar 7, 2020",/web/20200313165122/https://www.coindesk.com/the-dangerous-truth-about-indias-cryptocurrency-verdict,Opinion
India’s Central Bank Plans to Fight Supreme Court Crypto Ruling,"Mar 6, 2020",/web/20200313165122/https://www.coindesk.com/indias-central-bank-plans-to-fight-supreme-court-crypto-ruling,India
How the Bitcoin Market Changed Since 2017’s Bull Run,"Mar 5, 2020",/web/20200313165122/https://www.coindesk.com/how-the-bitcoin-market-changed-since-2017s-bull-run,Bitcoin
UK Finance Watchdog Warns Against ‘Unauthorized’ Crypto Exchange BitMEX,"Mar 5, 2020",/web/20200313165122/https://www.coindesk.com/uk-finance-watchdog-warns-against-unauthorized-crypto-exchange-bitmex,BitMEX
Crypto Exchange Huobi’s DeFi-Focused Blockchain Released in Public Beta,"Mar 2, 2020",/web/20200313165122/https://www.coindesk.com/crypto-exchange-huobis-defi-focused-blockchain-released-in-public-beta,Huobi
Steven Seagal Settles Token-Touting Charges With SEC Over 2018 ICO,"Feb 27, 2020",/web/20200313165122/https://www.coindesk.com/steven-seagal-settles-token-touting-charges-with-sec-over-2018-ico,SEC
Malta’s Financial Watchdog Highlights Obstacles to Security Tokens After Industry Consultation,"Feb 26, 2020",/web/20200313165122/https://www.coindesk.com/maltas-financial-watchdog-highlights-obstacles-to-security-tokens-after-industry-consultation,Malta
CoolBitX Raises $16.7M to Make Crypto More Bank-Friendly,"Feb 25, 2020",/web/20200313165122/https://www.coindesk.com/coolbitx-raises-16-7m-to-make-crypto-more-bank-friendly,Travel Rule
G-20 Urges Countries to Adopt Tough FATF Rules on Cryptocurrencies,"Feb 24, 2020",/web/20200313165122/https://www.coindesk.com/g20-urges-countries-to-adopt-tough-fatf-rules-on-cryptocurrencies,G-20
Hawaii Hints It May Relax Onerous Rule to Lure Crypto Firms,"Mar 18, 2020",/web/20200329060643/https://www.coindesk.com/hawaii-hints-it-may-relax-onerous-rule-to-lure-crypto-firms,Regulation
Canada’s Financial Crimes Watchdog Gets Ready for FATF Compliance,"Mar 18, 2020",/web/20200329060643/https://www.coindesk.com/canadas-financial-crimes-watchdog-gets-ready-for-fatf-compliance,Canada
Overstock Hit by Two More SEC Subpoenas in December,"Mar 17, 2020",/web/20200329060643/https://www.coindesk.com/overstock-hit-by-two-more-sec-subpoenas-in-december,Overstock
SEC Proposal Could (Eventually) Unleash Security Token Sales,"Mar 16, 2020",/web/20200329060643/https://www.coindesk.com/sec-proposal-could-eventually-unleash-security-token-sales,SEC
Crypto Payments Firm Halts Operations Citing Singapore’s New Regulatory Regime,"Mar 13, 2020",/web/20200329060643/https://www.coindesk.com/crypto-payments-firm-halts-operations-citing-singapores-new-regulatory-regime,Singapore
New York Regulator Tells Crypto Firms to Develop Coronavirus Contingency Plans,"Mar 13, 2020",/web/20200329060643/https://www.coindesk.com/new-york-regulator-tells-crypto-firms-to-develop-coronavirus-contingency-plans,Coronavirus
French Financial Regulator Suggests Europewide Security Token Sandbox,"Mar 12, 2020",/web/20200329060643/https://www.coindesk.com/french-financial-regulator-suggests-europe-wide-security-token-sandbox,Regulation
"The Cryptocurrency Act of 2020 Is ‘Dead on Arrival,’ Washington Tells Sponsors","Mar 10, 2020",/web/20200329060643/https://www.coindesk.com/the-cryptocurrency-act-of-2020-is-dead-on-arrival-washington-dc-tells-sponsors,Regulation
tZero-Affiliated Firm Hopes SEC Will Pass Updated Proposal for Security Token Platform,"Mar 9, 2020",/web/20200329060643/https://www.coindesk.com/tzero-affiliated-firm-hopes-sec-will-pass-updated-proposal-for-security-token-platform,Regulation
Kik Backs Away From Jury Trial Request in SEC Fight Over $100M Token Sale,"Mar 23, 2020",/web/20200330164603/https://www.coindesk.com/kik-backs-away-from-jury-trial-request-in-sec-fight-over-100m-token-sale,SEC
Hawaii Hints It May Relax Onerous Rule to Lure Crypto Firms,"Mar 18, 2020",/web/20200330164603/https://www.coindesk.com/hawaii-hints-it-may-relax-onerous-rule-to-lure-crypto-firms,Regulation
Canada’s Financial Crimes Watchdog Gets Ready for FATF Compliance,"Mar 18, 2020",/web/20200330164603/https://www.coindesk.com/canadas-financial-crimes-watchdog-gets-ready-for-fatf-compliance,Canada
Overstock Hit by Two More SEC Subpoenas in December,"Mar 17, 2020",/web/20200330164603/https://www.coindesk.com/overstock-hit-by-two-more-sec-subpoenas-in-december,Overstock
SEC Proposal Could (Eventually) Unleash Security Token Sales,"Mar 16, 2020",/web/20200330164603/https://www.coindesk.com/sec-proposal-could-eventually-unleash-security-token-sales,SEC
